texto,idioma
"Olá, como você está hoje?",pt
"Bom dia, vamos tomar um café?",pt
"Que horas são agora?",pt
"Estou muito feliz com meu novo trabalho",pt
"A vida é cheia de surpresas interessantes",pt
"Preciso comprar alguns mantimentos no mercado",pt
"Meu time de futebol ganhou ontem à noite",pt
"A tecnologia está mudando rapidamente",pt
"Qual é o seu hobby preferido?",pt
"Estou planejando minhas férias de verão",pt
"A educação é fundamental para o desenvolvimento",pt
"Meu cachorro é meu melhor amigo",pt
"Vamos fazer um churrasco no fim de semana?",pt
"Estou aprendendo a programar em Python",pt
"A praia está completamente lotada hoje",pt
"Receita de bolo de chocolate",pt
"Precisamos discutir o projeto da equipe",pt
"Qual foi o último livro que você leu?",pt
"Estou um pouco cansado depois do trabalho",pt
"O trânsito hoje está terrível",pt
"Vou fazer uma viagem para o nordeste",pt
"Minha família mora no interior",pt
"Gosto muito de música brasileira",pt
"Qual é o seu restaurante favorito?",pt
"Preciso fazer exercícios físicos",pt
"O clima está mudando rapidamente",pt
"Finalmente chegou o fim de semana",pt
"Como está sua família?",pt
"Quero aprender um novo idioma",pt
"Estou pensando em fazer uma pós-graduação",pt
"Meu aniversário é no próximo mês",pt
"Gosto muito de assistir filmes na Netflix",pt
"Qual foi a última série que você viu?",pt
"Estou planejando comprar um carro novo",pt
"A internet está muito lenta hoje",pt
"Preciso organizar minha agenda",pt
"Meu computador está precisando de manutenção",pt
"Gosto de cozinhar nos fins de semana",pt
"Qual é a sua comida favorita?",pt
"Estou estudando para uma prova importante",pt
"Meu trabalho é muito interessante",pt
"Vamos marcar um café da manhã?",pt
"Preciso fazer algumas compras no shopping",pt
"O bar da esquina tem uma cerveja ótima",pt
"Meu time de basquete joga hoje à noite",pt
"Estou aprendendo a tocar violão",pt
"Gosto muito de viajar pelo Brasil",pt
"Qual foi a última viagem que você fez?",pt
"Estou pensando em mudar de emprego",pt
"A universidade está muito diferente hoje",pt
"Meu filho está na escola",pt
"Gosto de ler livros de ficção científica",pt
"Preciso fazer uma consulta médica",pt
"O jardim da minha casa está precisando de cuidados",pt
"Estou planejando uma festa surpresa",pt
"Meu celular está com pouca bateria",pt
"Gosto de fazer caminhadas nos fins de semana",pt
"Qual é o seu esporte favorito?",pt
"Estou pensando em fazer um curso online",pt
"A padaria da esquina tem pães deliciosos",pt
"Meu trabalho remoto tem sido muito produtivo",pt
"Vamos planejar uma viagem juntos?",pt
"Preciso comprar um presente de aniversário",pt
"O treinamento da empresa foi muito bom",pt
"Estou aprendendo uma nova linguagem de programação",pt
"Meu cachorro adora passear no parque",pt
"Gosto de fazer exercícios de manhã cedo",pt
"Qual é a sua música favorita?",pt
"Estou pensando em fazer uma dieta",pt
"A reunião de hoje foi muito produtiva",pt
"Meu laptop está um pouco lento",pt
"Gosto de cozinhar pratos brasileiros",pt
"Preciso fazer algumas compras no mercado",pt
"O fim de semana passou muito rápido",pt
"Estou planejando uma viagem para o exterior",pt
"Meu time de futebol joga hoje",pt
"Gosto de assistir documentários",pt
"Qual foi o último filme que você viu?",pt
"Estou pensando em fazer um curso de idiomas",pt
"A sala de estar precisa de uma reforma",pt
"Meu computador está com problemas",pt
"Gosto de fazer caminhadas na praia",pt
"Preciso comprar alguns livros novos",pt
"O café da manhã estava muito bom hoje",pt
"Estou aprendendo a meditar",pt
"Meu filho está na universidade",pt
"Gosto de fazer churrasco nos fins de semana",pt
"Qual é o seu hobbie preferido?",pt
"Estou pensando em mudar de cidade",pt
"A festa de ontem foi incrível",pt
"Meu trabalho está muito interessante",pt
"Gosto de viajar pelo mundo",pt
"Hello, how are you doing?",en
"What's the weather like today?",en
"I'm really excited about this project",en
"Can you help me with something?",en
"The meeting is scheduled for tomorrow",en
"I'm learning a new programming language",en
"Technology is changing so fast",en
"Do you enjoy reading science fiction?",en
"We should grab lunch sometime",en
"My favorite book is about space",en
"Let's solve this problem together",en
"Education is the key to success",en
"My dog is my best friend",en
"What's your favorite movie?",en
"I'm feeling a bit tired today",en
"I love traveling around the world",en
"Can we meet for coffee later?",en
"The sunset was beautiful last night",en
"I'm working on a new startup idea",en
"How's your day going?",en
"I enjoy playing video games in my free time",en
"What's your favorite sport?",en
"The concert last night was amazing",en
"I'm planning a trip to Europe",en
"My laptop is running slow today",en
"Can you recommend a good book?",en
"I'm learning to play guitar",en
"The coffee shop around the corner is great",en
"I'm thinking about changing jobs",en
"My family lives in another state",en
"What did you do last weekend?",en
"I love cooking new recipes",en
"The traffic is terrible today",en
"I'm studying for an important exam",en
"My work is very interesting",en
"Let's have breakfast together",en
"I need to buy a birthday present",en
"The company training was very good",en
"I'm learning a new programming language",en
"My dog loves walking in the park",en
"I enjoy exercising early in the morning",en
"What's your favorite song?",en
"I'm thinking about starting a diet",en
"Today's meeting was very productive",en
"My laptop is a bit slow",en
"I like cooking international dishes",en
"I need to do some grocery shopping",en
"The weekend went by so fast",en
"I'm planning a trip abroad",en
"My soccer team is playing today",en
"I enjoy watching documentaries",en
"What was the last movie you watched?",en
"I'm thinking about taking a language course",en
"The living room needs renovation",en
"My computer is having issues",en
"I like taking walks on the beach",en
"I need to buy some new books",en
"Breakfast was very good today",en
"I'm learning to meditate",en
"My son is in college",en
"I like having barbecues on weekends",en
"What's your favorite hobby?",en
"I'm thinking about moving to another city",en
"Yesterday's party was incredible",en
"My work is very exciting",en
"I love traveling around the world",en
"I enjoy spending time with my family",en
"The weather is perfect today",en
"I'm looking forward to the weekend",en
"My team won the game last night",en
"I'm passionate about photography",en
"Let's plan a vacation together",en
"I enjoy reading during my free time",en
"What are your plans for today?",en
"I'm trying a new restaurant tonight",en
"My friends are coming over this weekend",en
"I love listening to music",en
"The concert was amazing last night",en
"I'm working on an interesting project",en
"Can we discuss this later?",en
"I enjoy learning new things",en
"My bicycle needs some repairs",en